"event","experiment time","system time","system time text"
"START",0.000000000E0,1717773324.778,"2024-06-07 17:15:24.778 UTC+02:00"
"PAUSE",3.039513863E2,1717773628.729,"2024-06-07 17:20:28.729 UTC+02:00"
