"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.366294316E1,5.238758628E1,4.950197480E0,7.032556068E-1,2.660000086E0,1.956999969E2,3.790092468E0,2.500000000E0
4.466268175E1,5.238756089E1,4.950194490E0,1.204540403E-1,2.680000067E0,1.816999969E2,3.790092468E0,2.500000000E0
4.566180373E1,5.238753592E1,4.950190200E0,2.091000677E-1,2.630000114E0,1.906999969E2,3.790092468E0,2.500000000E0
4.666215456E1,5.238750997E1,4.950184670E0,7.117454417E-1,2.619999886E0,1.881999969E2,3.790092468E0,2.500000000E0
4.766351394E1,5.238748461E1,4.950179060E0,3.129023514E-1,2.630000114E0,1.888999939E2,3.790092468E0,2.500000000E0
4.866108378E1,5.238745878E1,4.950172170E0,-3.436936193E-1,2.700000048E0,1.888000031E2,3.790092468E0,2.500000000E0
4.966249889E1,5.238743183E1,4.950167790E0,-4.275358149E-1,2.769999981E0,1.840000000E2,3.790092468E0,2.500000000E0
5.066694701E1,5.238740579E1,4.950161580E0,-1.416712254E0,2.759999990E0,1.908000031E2,3.790092468E0,2.500000000E0
5.166445795E1,5.238737241E1,4.950161280E0,-4.578976521E-1,3.180000067E0,1.743999939E2,3.790092468E0,2.500000000E0
5.266126738E1,5.238734508E1,4.950168590E0,-8.728492957E-1,2.720000029E0,1.693999939E2,3.790092468E0,2.500000000E0
5.366368878E1,5.238732000E1,4.950180720E0,-9.605854531E-1,2.839999914E0,1.633000031E2,3.790092468E0,2.500000000E0
5.466324831E1,5.238729361E1,4.950194810E0,-1.089398993E0,2.900000095E0,1.623999939E2,3.790092468E0,2.500000000E0
5.566310633E1,5.238726690E1,4.950209010E0,-1.180981480E0,2.890000105E0,1.620000000E2,3.790092468E0,2.500000000E0
5.666151175E1,5.238723918E1,4.950222610E0,-7.660960277E-1,2.930000067E0,1.623999939E2,3.790092468E0,2.500000000E0
5.766209430E1,5.238721077E1,4.950238470E0,-1.342177038E0,3.000000000E0,1.591000061E2,3.790092468E0,2.500000000E0
