Unnamed: 0,id,Time (s),X (m/s^2)_acc,Y (m/s^2)_acc,Z (m/s^2)_acc,X (m/s^2)_lin_acc,Y (m/s^2)_lin_acc,Z (m/s^2)_lin_acc,genre
,5,3.280127563,,,,,,,Dance
,5,3.300097354,,,,,,,Dance
,5,3.320109282,,,,,,,Dance
,5,3.34009074,,,,,,,Dance
,5,3.36004949,,,,,,,Dance
,5,3.38000824,,,,,,,Dance
,5,3.39996699,,,,,,,Dance
,5,3.41992574,,,,,,,Dance
,5,3.43988449,,,,,,,Dance
,5,3.45984324,,,,,,,Dance
,5,3.47980199,,,,,,,Dance
,5,3.49976074,,,,,,,Dance
,5,3.51971949,,,,,,,Dance
,5,3.53967824,,,,,,,Dance
,5,3.5596635,,,,,,,Dance
,5,3.579622407,,,,,,,Dance
,5,3.599528761,,,,,,,Dance
,5,3.619438188,,,,,,,Dance
,5,3.639352563,,,,,,,Dance
,5,3.659273448,,,,,,,Dance
,5,3.679202094,,,,,,,Dance
,5,3.699139386,,,,,,,Dance
,5,3.719085844,,,,,,,Dance
,5,3.739041625,,,,,,,Dance
,5,3.759006469,,,,,,,Dance
,5,3.77897975,,,,,,,Dance
,5,3.798960532,,,,,,,Dance
,5,3.818947667,,,,,,,Dance
,5,3.83893975,,,,,,,Dance
,5,3.858935219,,,,,,,Dance
,5,3.878932511,,,,,,,Dance
,5,3.898923292,,,,,,,Dance
,5,3.918894542,,,,,,,Dance
,5,3.938853292,,,,,,,Dance
,5,3.958812042,,,,,,,Dance
,5,3.978770792,,,,,,,Dance
,5,3.998729542,,,,,,,Dance
,5,4.018688292,,,,,,,Dance
,5,4.038647042,,,,,,,Dance
,5,4.058636104,,,,,,,Dance
,5,4.078596209,,,,,,,Dance
,5,4.098492875,,,,,,,Dance
,5,4.118393188,,,,,,,Dance
,5,4.138299334,,,,,,,Dance
,5,4.158213188,,,,,,,Dance
,5,4.178136209,,,,,,,Dance
,5,4.19806949,,,,,,,Dance
,5,4.218013657,,,,,,,Dance
,5,4.237968813,,,,,,,Dance
,5,4.257934698,,,,,,,Dance
,5,4.277910636,,,,,,,Dance
,5,4.297895532,,,,,,,Dance
,5,4.317887354,,,,,,,Dance
,5,4.337887771,,,,,,,Dance
,5,4.357892146,,,,,,,Dance
,5,4.377898396,,,,,,,Dance
,5,4.397904646,,,,,,,Dance
,5,4.417863396,,,,,,,Dance
,5,4.437822146,,,,,,,Dance
,5,4.457780896,,,,,,,Dance
,5,4.477739646,,,,,,,Dance
,5,4.497698396,,,,,,,Dance
,5,4.517657146,,,,,,,Dance
,5,4.537615896,,,,,,,Dance
,5,4.557574646,,,,,,,Dance
,5,4.577534386,,,,,,,Dance
,5,4.597491157,,,,,,,Dance
,5,4.617447979,,,,,,,Dance
,5,4.637404959,,,,,,,Dance
,5,4.657362146,,,,,,,Dance
,5,4.677319594,,,,,,,Dance
,5,4.697277354,,,,,,,Dance
,5,4.717235427,,,,,,,Dance
,5,4.737193813,,,,,,,Dance
,5,4.757152511,,,,,,,Dance
,5,4.777111521,,,,,,,Dance
,5,4.797070844,,,,,,,Dance
,5,4.817032198,,,,,,,Dance
,5,4.836995427,,,,,,,Dance
,5,4.856955844,,,,,,,Dance
,5,4.876914594,,,,,,,Dance
,5,4.896873344,,,,,,,Dance
,5,4.916832094,,,,,,,Dance
,5,4.936790844,,,,,,,Dance
,5,4.956749594,,,,,,,Dance
,5,4.976708344,,,,,,,Dance
,5,4.996667094,,,,,,,Dance
,5,5.016625844,,,,,,,Dance
,5,5.036584594,,,,,,,Dance
,5,5.056543344,,,,,,,Dance
,5,5.076503969,,,,,,,Dance
,5,5.096459125,,,,,,,Dance
,5,5.116414438,,,,,,,Dance
,5,5.136370011,,,,,,,Dance
,5,5.156325948,,,,,,,Dance
,5,5.176282354,,,,,,,Dance
,5,5.196239334,,,,,,,Dance
,5,5.216196938,,,,,,,Dance
,5,5.236155167,,,,,,,Dance
,5,5.256114021,,,,,,,Dance
,5,5.2760735,,,,,,,Dance
,5,5.296033552,,,,,,,Dance
,5,5.315999646,,,,,,,Dance
,5,5.335965792,,,,,,,Dance
,5,5.355924542,,,,,,,Dance
,5,5.375883292,,,,,,,Dance
,5,5.395842042,,,,,,,Dance
,5,5.415800792,,,,,,,Dance
,5,5.435759542,,,,,,,Dance
,5,5.455718292,,,,,,,Dance
,5,5.475677042,,,,,,,Dance
,5,5.495635792,,,,,,,Dance
,5,5.515594542,,,,,,,Dance
,5,5.535553292,,,,,,,Dance
,5,5.555512042,,,,,,,Dance
,5,5.575474386,,,,,,,Dance
,5,5.595426052,,,,,,,Dance
,5,5.615378084,,,,,,,Dance
,5,5.63533074,,,,,,,Dance
,5,5.655284229,,,,,,,Dance
,5,5.675238761,,,,,,,Dance
,5,5.695194438,,,,,,,Dance
,5,5.715151313,,,,,,,Dance
,5,5.735109438,,,,,,,Dance
,5,5.755068813,,,,,,,Dance
,5,5.775029386,,,,,,,Dance
,5,5.794991,,,,,,,Dance
,5,5.814961886,,,,,,,Dance
,5,5.834934386,,,,,,,Dance
,5,5.854893136,,,,,,,Dance
,5,5.874851886,,,,,,,Dance
,5,5.894810636,,,,,,,Dance
,5,5.914769386,,,,,,,Dance
,5,5.934728136,,,,,,,Dance
,5,5.954686886,,,,,,,Dance
,5,5.974645636,,,,,,,Dance
,5,5.994604386,,,,,,,Dance
,5,6.014563136,,,,,,,Dance
,5,6.034521782,,,,,,,Dance
,5,6.054480427,,,,,,,Dance
,5,6.074444542,,,,,,,Dance
,5,6.094393084,,,,,,,Dance
,5,6.114342198,,,,,,,Dance
,5,6.134292198,,,,,,,Dance
,5,6.154243396,,,,,,,Dance
,5,6.174196052,,,,,,,Dance
,5,6.194150375,,,,,,,Dance
,5,6.214106469,,,,,,,Dance
,5,6.234064334,,,,,,,Dance
,5,6.254023969,,,,,,,Dance
,5,6.273985271,,,,,,,Dance
,5,6.293948084,,,,,,,Dance
,5,6.313924282,,,,,,,Dance
,5,6.333902927,,,,,,,Dance
,5,6.353861677,,,,,,,Dance
,5,6.373820427,,,,,,,Dance
,5,6.393779177,,,,,,,Dance
,5,6.413737927,,,,,,,Dance
,5,6.433696677,,,,,,,Dance
,5,6.453655427,,,,,,,Dance
,5,6.473614177,,,,,,,Dance
,5,6.493572823,,,,,,,Dance
,5,6.513531469,,,,,,,Dance
,5,6.533490115,,,,,,,Dance
,5,6.553448761,,,,,,,Dance
