"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.643566782E0,4.444835663E0,4.049193859E0,-4.788403213E-2
1.663517511E0,3.056198359E0,4.331709385E0,-1.821987510E0
1.683470115E0,1.827973008E0,4.331709385E0,-2.542642117E0
1.703424802E0,5.805938840E-1,4.695628166E0,-2.590526342E0
1.723381573E0,-6.284779310E-1,5.229535103E0,-2.863465309E0
1.743340427E0,-2.026691675E0,5.258265495E0,8.044517636E-1
1.763301261E0,-5.869385242E0,6.694786549E0,9.835380554E0
1.783263969E0,-1.443583870E1,1.124376965E1,1.775779343E1
1.803228344E0,-2.330635643E1,1.771529770E1,2.303940201E1
1.823215584E0,-3.781761169E1,1.702576637E1,2.825157928E1
1.843185844E0,-3.041713524E1,1.198597240E1,2.524206924E1
1.863144490E0,-1.751238823E1,5.952583790E0,1.504516315E1
1.883103136E0,-9.463082314E0,2.526481390E0,1.035252857E1
1.903061782E0,-4.741716385E0,7.858967185E-1,5.580883980E0
1.923020427E0,-4.416105270E0,2.041056901E-1,2.944868088E0
1.942979073E0,-3.128024578E0,-9.163807034E-1,1.410184860E0
1.962937719E0,-6.500257850E-1,-2.814982653E0,-1.477222443E0
1.982896365E0,-9.014169574E-1,-4.416703701E0,-2.880224705E0
2.002855011E0,-6.141127348E-1,-5.120598793E0,-3.529053211E0
2.022813657E0,-1.279700756E0,-5.764639378E0,-7.572859764E0
2.042772302E0,-1.734599113E0,-4.718372822E0,-1.018972206E1
2.062746573E0,9.217676520E-2,-4.270657063E0,-1.072123528E1
2.082690219E0,1.164779186E0,-5.003283024E0,-8.851364136E0
2.102634386E0,1.303642869E0,-6.284181118E0,-4.225766182E0
2.122579698E0,7.649474144E-1,-7.112574577E0,-1.053448766E-1
2.142526573E0,-1.765723705E0,-6.018424511E0,-8.140285611E-1
2.162475427E0,-8.215703011E0,-7.727286220E-1,-2.978386879E0
2.182426573E0,-1.966238213E1,8.600570679E0,-1.716642618E0
2.202380219E0,-3.707540894E1,1.872565079E1,1.327345467E1
2.222336469E0,-4.459559631E1,2.219963646E1,2.172977448E1
2.242321938E0,-3.109230042E1,1.859396935E1,2.472970963E1
2.262306417E0,-1.259948635E1,1.261564732E1,2.423410988E1
2.282277302E0,-1.947683096E0,1.019989777E1,1.489911747E1
2.302236052E0,4.584896266E-1,8.832808495E0,5.092466831E0
2.322194802E0,2.055422068E0,6.579864979E0,1.640028119E0
2.342153500E0,7.104793549E0,4.070741653E0,1.175553083E0
2.362112146E0,1.068173122E1,2.136226416E0,1.726219416E0
