"event","experiment time","system time","system time text"
"START",0.000000000E0,1717774484.285,"2024-06-07 17:34:44.285 UTC+02:00"
"PAUSE",3.000185295E2,1717774784.303,"2024-06-07 17:39:44.303 UTC+02:00"
