"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.301347009E1,5.238899198E1,4.960221790E0,3.321822598E0,3.279999971E0,2.887999878E2,3.790092468E0,2.500000000E0
4.401212389E1,5.238900231E1,4.960172590E0,3.523957063E0,3.210000038E0,2.895000000E2,3.790092468E0,2.500000000E0
4.500952451E1,5.238901045E1,4.960124030E0,2.611037510E0,3.220000029E0,2.807999878E2,3.790092468E0,2.500000000E0
4.601270915E1,5.238901661E1,4.960070200E0,2.940787840E0,3.430000067E0,2.808999939E2,3.790092468E0,2.500000000E0
4.701308436E1,5.238902396E1,4.960016910E0,3.063142721E0,3.329999924E0,2.815000000E2,3.790092468E0,2.500000000E0
4.801176212E1,5.238902664E1,4.959962700E0,3.030644215E0,3.339999914E0,2.705000000E2,3.790092468E0,2.500000000E0
4.901401071E1,5.238902175E1,4.959911550E0,3.494108381E0,3.329999924E0,2.577000122E2,3.790092468E0,2.500000000E0
5.001459852E1,5.238901293E1,4.959862360E0,3.316210664E0,3.299999952E0,2.567999878E2,3.790092468E0,2.500000000E0
5.101010337E1,5.238900745E1,4.959812890E0,2.888500652E0,3.230000019E0,2.613999939E2,3.790092468E0,2.500000000E0
5.201353534E1,5.238900272E1,4.959766940E0,3.376931459E0,2.910000086E0,2.587999878E2,3.790092468E0,2.500000000E0
5.301298102E1,5.238899618E1,4.959723310E0,3.011112991E0,3.119999886E0,2.541999969E2,3.790092468E0,2.500000000E0
5.401413941E1,5.238898677E1,4.959691560E0,3.350619627E0,1.970000029E0,2.353999939E2,3.790092468E0,2.500000000E0
5.501128159E1,5.238897327E1,4.959674340E0,3.022038087E0,1.889999986E0,2.153999939E2,3.790092468E0,2.500000000E0
5.601591602E1,5.238895148E1,4.959667340E0,3.476470710E0,2.470000029E0,1.858999939E2,3.790092468E0,2.500000000E0
5.701412347E1,5.238892553E1,4.959666500E0,3.254509393E0,2.490000010E0,1.818000031E2,3.790092468E0,2.500000000E0
5.801385722E1,5.238890063E1,4.959654230E0,2.523448667E0,2.710000038E0,2.063000031E2,3.790092468E0,2.500000000E0
5.900826347E1,5.238888348E1,4.959617670E0,2.316798885E0,3.019999981E0,2.418000031E2,3.790092468E0,2.500000000E0
6.001134222E1,5.238888037E1,4.959581130E0,3.507141788E0,1.929999948E0,2.667999878E2,3.790092468E0,2.500000000E0
6.101367399E1,5.238887401E1,4.959542000E0,5.305327668E0,2.299999952E0,2.611000061E2,3.790092468E0,2.500000000E0
6.201141305E1,5.238886399E1,4.959495840E0,5.668445635E0,2.680000067E0,2.608999939E2,3.790092468E0,2.538742542E0
6.301324940E1,5.238885306E1,4.959449100E0,5.557318803E0,2.690000057E0,2.548000031E2,3.790092468E0,2.543268442E0
6.401703305E1,5.238883810E1,4.959392530E0,5.849989085E0,3.539999962E0,2.483999939E2,3.790092468E0,2.505295753E0
6.500927862E1,5.238882084E1,4.959333400E0,6.026809868E0,3.680000067E0,2.483999939E2,3.790092468E0,2.500000000E0
6.602503607E1,5.238880388E1,4.959277340E0,6.295063534E0,3.609999895E0,2.486000061E2,3.790092468E0,2.500000000E0
6.701511721E1,5.238878821E1,4.959224000E0,6.614101877E0,3.660000086E0,2.471999969E2,3.790092468E0,2.500000000E0
6.800990003E1,5.238877589E1,4.959173790E0,6.238505708E0,3.500000000E0,2.523000031E2,3.790092468E0,2.500000000E0
6.900952232E1,5.238876462E1,4.959124060E0,5.329647156E0,3.589999914E0,2.450000000E2,3.790092468E0,2.500000000E0
7.001615331E1,5.238874929E1,4.959075840E0,6.107185064E0,3.650000095E0,2.410000000E2,3.790092468E0,2.500000000E0
7.100913888E1,5.238873511E1,4.959028200E0,6.111409521E0,3.549999952E0,2.460000000E2,3.790092468E0,2.500000000E0
7.201529138E1,5.238872221E1,4.958982620E0,5.903417766E0,3.460000038E0,2.451999969E2,3.790092468E0,2.500000000E0
7.301004367E1,5.238870791E1,4.958938710E0,5.754079775E0,3.480000019E0,2.415000000E2,3.790092468E0,2.500000000E0
7.400977060E1,5.238869210E1,4.958896480E0,6.264835826E0,3.450000048E0,2.386000061E2,3.790092468E0,2.500000000E0
7.501166028E1,5.238867506E1,4.958854010E0,6.194291156E0,3.480000019E0,2.383000031E2,3.790092468E0,2.500000000E0
7.600725705E1,5.238865749E1,4.958810700E0,5.657680787E0,3.500000000E0,2.371999969E2,3.790092468E0,2.500000000E0
7.701475054E1,5.238864307E1,4.958763210E0,5.538675010E0,3.519999981E0,2.446000061E2,3.790092468E0,2.500000000E0
7.801235658E1,5.238862829E1,4.958717580E0,6.441032110E0,3.500000000E0,2.393000031E2,3.790092468E0,2.500000000E0
7.901286695E1,5.238861310E1,4.958666650E0,7.505250769E0,3.740000010E0,2.470000000E2,3.790092468E0,2.500000000E0
8.001502862E1,5.238859760E1,4.958612690E0,9.338388117E0,3.569999933E0,2.473000031E2,3.790092468E0,2.500000000E0
8.101170815E1,5.238858124E1,4.958557500E0,1.013001962E1,3.599999905E0,2.468999939E2,3.790092468E0,2.778176785E0
8.201046643E1,5.238856637E1,4.958506940E0,1.041713934E1,3.460000038E0,2.458000031E2,3.790092468E0,3.048475027E0
8.301216507E1,5.238855550E1,4.958457670E0,9.547954480E0,3.509999990E0,2.468999939E2,3.790092468E0,3.239337921E0
8.400918164E1,5.238854693E1,4.958408430E0,8.645691864E0,3.500000000E0,2.483000031E2,3.790092468E0,3.331650972E0
8.501814731E1,5.238853627E1,4.958360950E0,8.541400928E0,3.509999990E0,2.445000000E2,3.790092468E0,3.433657408E0
8.601002153E1,5.238852453E1,4.958312750E0,8.033665650E0,3.519999981E0,2.465000000E2,3.790092468E0,3.340945482E0
8.701654945E1,5.238851539E1,4.958264250E0,6.991388004E0,3.440000057E0,2.491000061E2,3.790092468E0,3.159015656E0
8.801341340E1,5.238850368E1,4.958215400E0,7.365427293E0,3.529999971E0,2.441000061E2,3.790092468E0,3.169321060E0
8.901322491E1,5.238849001E1,4.958165490E0,7.182334263E0,3.519999981E0,2.448000031E2,3.790092468E0,3.119883537E0
9.001087023E1,5.238847779E1,4.958114310E0,7.142919317E0,3.500000000E0,2.508000031E2,3.790092468E0,3.017904520E0
9.101542049E1,5.238846467E1,4.958062710E0,7.318529699E0,3.500000000E0,2.450000000E2,3.790092468E0,2.946503401E0
9.201041153E1,5.238845038E1,4.958013080E0,7.048888098E0,3.460000038E0,2.451000061E2,3.790092468E0,2.857093811E0
9.301544288E1,5.238843638E1,4.957962700E0,7.468882704E0,3.460000038E0,2.476999969E2,3.790092468E0,2.919686556E0
