"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.601933026E0,-3.555665016E0,-3.262338638E0,-3.554166794E0
1.621876255E0,7.550330162E-1,-7.726144791E0,-1.853920937E0
1.641822036E0,3.688858986E0,-1.085049343E1,-3.396322727E-1
1.661770838E0,4.718680382E0,-1.179190063E1,-7.067351341E-1
1.681723026E0,4.320291996E0,-1.309249020E1,-1.437393665E0
1.701678807E0,2.248200178E0,-1.355454540E1,-2.511320829E0
1.721638234E0,2.507494211E0,-1.435967445E1,-4.979597092E0
1.741601255E0,4.362688065E0,-1.344484901E1,-6.069455624E0
1.761567661E0,7.307681561E0,-1.294506836E1,-5.102195740E0
1.781537088E0,8.607963562E0,-1.307444000E1,-4.296686172E0
1.801531411E0,8.960396767E0,-1.194296169E1,-3.090396881E0
1.821531828E0,6.635894775E0,-9.974860191E0,-3.078719616E0
1.841492661E0,-2.115858078E0,-7.010707855E0,-3.086570263E0
1.861453494E0,-1.619140434E1,1.157118320E0,-2.016764164E0
1.881414223E0,-8.798871994E0,3.927875519E0,-4.572390556E0
1.901374953E0,-4.075110912E0,3.973370552E0,6.069518566E0
1.921335682E0,-2.451722908E1,1.020218849E1,1.893880272E1
1.941296411E0,-3.432530975E1,1.464916611E1,1.644820213E1
1.961257140E0,-1.712398529E1,1.167762375E1,5.232111931E0
1.981224953E0,-1.767418385E0,7.795274734E0,-9.974159598E-1
2.001172921E0,3.200061798E0,6.149056435E0,-1.452837467E0
2.021121619E0,5.050511360E0,4.294184685E0,-4.405196607E-1
2.041071463E0,6.684329033E0,2.129897118E0,6.573240161E-1
2.061022869E0,8.585501671E0,1.665129662E-1,2.374439836E-1
2.080976151E0,1.073787117E1,-1.136203766E0,-6.122262478E-1
2.100931515E0,9.708621979E0,-1.101920128E0,-1.686617494E0
2.120889119E0,9.521726608E0,-7.638950348E-1,-2.358214855E0
2.140849015E0,1.075202179E1,-1.230871201E0,-2.893549442E0
2.160811151E0,1.076922894E1,-1.949735641E0,-2.460424662E0
2.180775369E0,1.015530300E1,-2.631036282E0,-6.906608939E-1
2.200741463E0,8.963754654E0,-3.187923193E0,2.093516111E0
2.220709171E0,5.741555214E0,-1.640567780E0,6.561936378E0
2.240678130E0,-1.027092934E-1,4.046043873E0,7.406948566E0
2.260647921E0,9.667258263E-1,1.066585159E1,1.046439648E0
2.280618182E0,1.068325043E-1,1.722116852E1,4.292178631E0
2.300615578E0,-2.266645813E1,1.832712746E1,1.875974846E1
2.320581098E0,-2.791122437E1,1.254202461E1,2.267694664E1
2.340485942E0,-1.436634445E1,2.653968334E0,1.328332520E1
2.360394067E0,-3.450418949E0,-3.161647797E0,4.225884438E0
2.380307453E0,9.032840729E-1,-6.783617973E0,6.214787960E-1
2.400227765E0,1.661009312E0,-8.801859856E0,-1.039356947E0
2.420156359E0,2.489237309E0,-1.112211418E1,-2.380181789E0
2.440094171E0,3.712656975E0,-1.326995087E1,-3.458963871E0
2.460041776E0,3.493945360E0,-1.427089214E1,-3.985811234E0
2.479999328E0,4.382586956E0,-1.307497597E1,-6.629280090E0
2.499966567E0,7.539236069E0,-1.220550537E1,-1.017322350E1
2.519942869E0,8.491006851E0,-1.264766121E1,-1.025712013E1
2.539927244E0,9.238789558E0,-1.316290092E1,-8.918789864E0
2.559918390E0,7.171825409E0,-1.307185364E1,-6.289535522E0
2.579914796E0,6.110649109E-1,-1.135196686E1,-3.062395096E0
2.599914848E0,-4.252907276E0,-7.479724407E0,-1.391369104E0
2.619916828E0,-3.326730728E0,-4.803066254E-1,-2.277907610E0
2.639912140E0,-1.691807747E1,1.307318687E1,2.357808352E0
2.659886619E0,-5.171019745E1,2.710399628E1,1.411616135E1
2.679847453E0,-3.560754013E1,1.861688614E1,1.773080444E1
2.699808286E0,-1.181871510E1,7.577743530E0,2.764822769E1
2.719769119E0,-5.801267624E-1,1.667677879E0,1.906236076E1
2.739729953E0,6.907910824E0,-1.323307037E0,8.218736649E-1
2.759690786E0,1.137192154E1,-4.469189644E0,-4.984110832E0
2.779651567E0,1.475275135E1,-8.406492233E0,-2.747406483E0
2.799642192E0,1.211300850E1,-9.604672432E0,-4.572432041E-1
2.819605057E0,1.023740196E1,-8.455077171E0,-1.800496578E-1
2.839503390E0,1.230324554E1,-8.129385948E0,-3.168185949E0
2.859405421E0,1.170370674E1,-6.965543747E0,-4.411638737E0
2.879313338E0,1.083855343E1,-5.597240448E0,-5.033687115E0
2.899229015E0,1.053787231E1,-5.464014053E0,-3.056383610E0
2.919153963E0,1.071803665E1,-6.149722576E0,6.725702286E-1
2.939089223E0,1.136710548E1,-6.800098419E0,4.179239273E0
2.959035421E0,1.102774239E1,-6.281727791E0,6.412624836E0
2.978992713E0,9.977203369E0,-4.402595043E0,4.071354866E0
2.998960786E0,8.743000984E0,-1.739063263E-1,1.644089937E0
3.018938911E0,8.807757378E0,5.065489769E0,4.895014763E0
3.038925994E0,-6.441703796E0,1.388448906E1,3.521672821E1
3.058920213E0,-2.982909775E1,1.568805981E1,4.773122025E1
3.078923234E0,-2.438349533E1,1.191996956E1,8.419324875E0
3.098930109E0,-1.883005524E1,1.024777412E1,-5.800126553E0
3.118938859E0,-6.515413284E0,8.310585022E-1,-4.745493412E0
3.138946151E0,2.382271290E0,-6.678102016E0,-7.494883537E-1
3.158906984E0,6.050190449E0,-1.032485485E1,-1.937609196E0
3.178867817E0,4.936548233E0,-1.196907425E1,-4.498436928E0
3.198828546E0,5.188279152E-1,-1.180079269E1,-5.048319817E0
3.218789276E0,-1.287491322E0,-1.019339943E1,-4.771376133E0
3.238750005E0,2.241352081E0,-1.033327484E1,-7.345361233E0
3.258710734E0,7.518785954E0,-1.137312889E1,-9.924448013E0
3.278671463E0,1.094416904E1,-1.179315376E1,-8.217128754E0
3.298632192E0,8.841682434E0,-1.144883919E1,-4.895824432E0
3.318594015E0,5.388669491E0,-1.011332130E1,-4.494670868E0
3.338553390E0,-1.329997063E0,-8.114063263E0,-5.345818996E0
3.358512817E0,-8.685445786E0,-3.023291588E0,-2.095345974E0
3.378472348E0,-1.156375599E1,5.944787979E0,7.154617310E-1
3.398432036E0,-2.537247467E1,1.281013966E1,1.211410999E1
3.418391932E0,-4.159213638E1,1.608507156E1,2.772566986E1
3.438352036E0,-2.208863258E1,9.680244446E0,2.162701607E1
3.458312348E0,-6.452975273E-1,3.195307732E0,1.237750244E1
