,height_mean,height_std,height_median,velocity_mean,velocity_std,velocity_median,genre
7,1.921054660956667,0.636240764167982,1.9964478395,3.1220000029333335,0.2229024847008159,3.1900000575,Dance
8,3.5948871832333333,1.629748202370859,2.9370512265000004,3.2326666593,0.06351394992723276,3.25,Dance
9,1.1768518556366667,0.8937795421096499,1.1239155099999998,3.1823333343,0.13116673302373344,3.205000043,Dance
10,-0.34493954590200004,0.47406810910048813,-0.429137,3.1473333359333333,0.26392178815746503,3.119999886,Dance
11,0.6406298190026667,0.5863436949407635,0.65971323865,3.0276666402,0.04091057276775074,3.029999971,Dance
12,-1.2586267674536666,2.2918918632288614,-1.1262746756,2.9253333568,0.2298235123919831,3.0,Dance
13,0.5809823521633334,1.5793109021796097,0.88761864325,3.3986206547586213,0.35622748406012733,3.319999933,Jazz
14,0.01995578116333331,1.0464774947684226,0.13280305074999998,2.9256666898333337,0.22645214932246355,2.915000081,Jazz
15,-0.12156535619266666,0.9234258971999604,-0.02820894159,2.8440000296333325,0.21196293542846503,2.915000081,Jazz
16,-2.201477656728667,1.1927189657333153,-2.3619469755,2.8956666788333334,0.1845158349237027,2.930000067,Jazz
17,0.023370133380666656,0.8982543827561905,0.127693715995,3.0246666669333333,0.12406154978437081,3.0149999855,Jazz
18,-2.011171390022,1.903441075320893,-1.698527353,3.2919999997000007,0.2656598913555448,3.2350000145,Jazz
19,-2.6679531813966673,1.6893642431357847,-3.1820367345,3.2140000105000004,0.16228115030234957,3.205000043,Jazz
20,-0.9698386554763335,0.6969047543347615,-0.87603247955,3.0480000098,0.19300525553288977,3.089999914,Jazz
21,-0.12111689730333332,0.8425444727849447,-0.40604315204999997,3.0603333393666663,0.1555963668517164,3.084999919,Jazz
22,29.2539010512,11.072395134004239,30.934971905,3.5006896627241373,0.4739117774828463,3.529999971,Rock
23,10.845452752399998,2.333408105408143,10.216547441500001,3.4450000048000002,0.12442280366724327,3.4650000335,Rock
24,5.773352450033333,1.3222348448398276,5.792806076,3.6179999749,0.10472955245875618,3.589999914,Rock
25,6.282726928066668,1.2537119497033933,5.7268536055,3.5466666459666665,0.07198339747440526,3.539999962,Rock
26,6.335342339733332,1.4196778231057845,6.4866078565,3.016000016533333,0.3907340584189661,2.9950000049999996,Rock
27,6.0298883433,0.9165578205647673,6.159068982,3.3933333476666667,0.1716116817782589,3.4350000620000003,Rock
28,5.1702455064000015,1.4402536986181127,5.4380636715,2.8779999970666665,0.37572367773396576,3.0299999714999997,Rock
29,4.581946628733333,2.0776454317081736,4.239678822,3.1546666861,0.07587347025453028,3.1500000955000003,Rock
30,4.252949261833333,0.8919693007134791,4.1813733115,3.149333333933334,0.25953447987600387,3.230000019,Rock
31,10.825896270833333,7.404598966633024,10.94247221,3.4279310046206897,0.7603071592898133,3.369999886,Dance
32,4.486428268433333,2.181876378853266,3.431597677,3.041333333766667,0.46025280616021186,3.165000081,Dance
33,6.923313199800001,1.4697573610978776,6.27994968,3.4413333335999994,0.31376174614997787,3.50999999,Dance
34,9.266478976733334,1.4845685117151919,9.463522586,3.423666652099999,0.23871038026426739,3.5,Dance
35,7.978738583433334,1.3865646820830304,7.693110321000001,3.1896666924333337,0.09477680864337776,3.210000038,Dance
36,7.075303515166667,1.3678040947835561,7.6174026445,2.9896666686333337,0.19749263814355617,2.9600000385,Dance
37,5.374509273363333,2.3853515585174656,6.327251457,3.1946666320333335,0.2055729264212185,3.1349999905,Dance
38,3.4712072348666667,1.0968234489887496,3.2448762165,3.2306666850999997,0.2986628935224851,3.2549999955,Dance
39,0.5614483952893333,1.4254624093752937,0.16844795999,3.190666667600001,0.10099277738419946,3.2100000385,Dance
40,29.2539010512,11.072395134004239,30.934971905,3.5006896627241373,0.4739117774828463,3.529999971,Jazz
41,10.845452752399998,2.333408105408143,10.216547441500001,3.4450000048000002,0.12442280366724327,3.4650000335,Jazz
42,5.773352450033333,1.3222348448398276,5.792806076,3.6179999749,0.10472955245875618,3.589999914,Jazz
43,6.282726928066668,1.2537119497033933,5.7268536055,3.5466666459666665,0.07198339747440526,3.539999962,Jazz
44,6.335342339733332,1.4196778231057845,6.4866078565,3.016000016533333,0.3907340584189661,2.9950000049999996,Jazz
45,6.0298883433,0.9165578205647673,6.159068982,3.3933333476666667,0.1716116817782589,3.4350000620000003,Jazz
46,5.1702455064000015,1.4402536986181127,5.4380636715,2.8779999970666665,0.37572367773396576,3.0299999714999997,Jazz
47,4.581946628733333,2.0776454317081736,4.239678822,3.1546666861,0.07587347025453028,3.1500000955000003,Jazz
48,4.252949261833333,0.8919693007134791,4.1813733115,3.149333333933334,0.25953447987600387,3.230000019,Jazz
49,4.119209158372414,3.673658129493711,3.026889548,3.0444827655517246,0.21787257878806413,2.99000001,Jazz
50,3.3918667611999997,1.0667512459236344,3.2662855225,3.4799999951666667,0.11270959871618268,3.504999995,Jazz
51,2.1837696386966665,0.6200292892421361,2.24455137,3.322333351866667,0.16048813809342435,3.355000019,Jazz
52,3.6024277312999993,0.3671638722371793,3.6570606715,3.2343333164999994,0.10483756705650138,3.2649999855,Jazz
53,2.605601204533334,0.7997644917754096,2.6795984415,3.0006666659,0.17172417453955374,2.9950000045,Jazz
54,3.6061382862666664,0.5467934527406186,3.687404894,3.1019999980999997,0.06440178764069245,3.1149998905,Jazz
55,3.4241643761333336,0.9175829251172942,3.6977740074999996,3.128000013,0.11833328919509209,3.150000095,Jazz
56,2.04869955024,1.676300648525732,2.091579453,2.845000004766667,0.3571317438883905,2.8450000285,Jazz
57,5.815809561933333,1.7478764279304668,5.451525429,2.5333333372,0.36126534618703404,2.3950001,Jazz
58,3.35619170526,1.5979985930818434,3.8172205359999998,2.752000013999999,0.2344384346652233,2.8449999095,Jazz
