"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.310228118E1,5.239227236E1,4.958197580E0,1.127868700E1,3.529999971E0,6.530000305E1,3.790092468E0,2.500000000E0
4.410917576E1,5.239228471E1,4.958248150E0,1.099809449E1,3.500000000E0,6.450000000E1,3.790092468E0,2.500000000E0
4.510905649E1,5.239229629E1,4.958301110E0,1.061056868E1,3.619999886E0,6.919999695E1,3.790092468E0,2.500000000E0
4.610849972E1,5.239230625E1,4.958351210E0,9.822526203E0,3.430000067E0,7.059999847E1,3.790092468E0,2.500000000E0
4.710212436E1,5.239231732E1,4.958400260E0,9.586730786E0,3.460000038E0,6.419999695E1,3.790092468E0,2.500000000E0
4.810292717E1,5.239232864E1,4.958449290E0,8.824324387E0,3.480000019E0,6.680000305E1,3.790092468E0,2.500000000E0
4.910641014E1,5.239234205E1,4.958497500E0,8.288605058E0,3.410000086E0,6.000000000E1,3.790092468E0,2.500000000E0
5.010823899E1,5.239235718E1,4.958542640E0,8.766253087E0,3.430000067E0,6.229999924E1,3.790092468E0,2.671432734E0
5.110627009E1,5.239237156E1,4.958592270E0,8.716192709E0,3.670000076E0,6.509999847E1,3.790092468E0,2.737325668E0
5.210327316E1,5.239238342E1,4.958643140E0,8.601981514E0,3.529999971E0,6.800000000E1,3.790092468E0,2.749864340E0
5.310571493E1,5.239239470E1,4.958691320E0,8.682897316E0,3.470000029E0,6.480000305E1,3.790092468E0,2.805984259E0
5.410695050E1,5.239240593E1,4.958742840E0,8.728841853E0,3.559999943E0,6.800000000E1,3.790092468E0,2.875713587E0
5.510378477E1,5.239241640E1,4.958793880E0,8.557133659E0,3.539999962E0,6.969999695E1,3.790092468E0,2.674219847E0
5.610331435E1,5.239242922E1,4.958841130E0,8.595448575E0,3.400000095E0,5.959999847E1,3.790092468E0,2.618432522E0
5.710861248E1,5.239244216E1,4.958889570E0,8.539770217E0,3.599999905E0,6.790000153E1,3.790092468E0,2.500000000E0
5.810424081E1,5.239245567E1,4.958935090E0,8.423971337E0,3.450000048E0,6.240000153E1,3.790092468E0,2.614497662E0
5.910335831E1,5.239246921E1,4.958981310E0,9.164740291E0,3.480000019E0,6.559999847E1,3.790092468E0,2.500000000E0
6.010434123E1,5.239248348E1,4.959027090E0,8.841117940E0,3.490000010E0,5.970000076E1,3.790092468E0,2.500000000E0
6.110368992E1,5.239249870E1,4.959074430E0,8.629253226E0,3.509999990E0,6.100000000E1,3.790092468E0,2.500000000E0
6.210660883E1,5.239251104E1,4.959124730E0,8.565030177E0,3.559999943E0,6.809999847E1,3.790092468E0,2.500000000E0
6.310575748E1,5.239252044E1,4.959176070E0,8.078196124E0,3.470000029E0,6.859999847E1,3.790092468E0,2.500000000E0
6.410649279E1,5.239253341E1,4.959224570E0,7.319575950E0,3.559999943E0,5.950000000E1,3.790092468E0,2.500000000E0
6.510974701E1,5.239254528E1,4.959273250E0,6.593486052E0,3.529999971E0,6.530000305E1,3.790092468E0,2.500000000E0
6.611047737E1,5.239255235E1,4.959325710E0,6.021139077E0,3.579999924E0,7.819999695E1,3.790092468E0,2.500000000E0
6.710683581E1,5.239256355E1,4.959382230E0,6.329964913E0,3.970000029E0,6.600000000E1,3.790092468E0,2.500000000E0
6.811305018E1,5.239257682E1,4.959438050E0,6.001525225E0,3.690000057E0,6.940000153E1,3.790092468E0,2.500000000E0
6.910671133E1,5.239258911E1,4.959494190E0,6.277088233E0,3.829999924E0,7.169999695E1,3.790092468E0,2.500000000E0
7.010208794E1,5.239260537E1,4.959544360E0,6.703288180E0,3.640000105E0,5.809999847E1,3.790092468E0,2.500000000E0
7.110927633E1,5.239262159E1,4.959594300E0,6.615327780E0,3.680000067E0,6.630000305E1,3.790092468E0,2.500000000E0
7.210837054E1,5.239262979E1,4.959648040E0,6.100966564E0,3.589999914E0,8.019999695E1,3.790092468E0,2.500000000E0
7.310660737E1,5.239263940E1,4.959700020E0,5.519223518E0,3.579999924E0,6.790000153E1,3.790092468E0,2.500000000E0
7.410459377E1,5.239265384E1,4.959749250E0,5.881943760E0,3.619999886E0,6.630000305E1,3.790092468E0,2.500000000E0
7.511250893E1,5.239266907E1,4.959801260E0,6.331519779E0,3.750000000E0,6.580000305E1,3.790092468E0,2.500000000E0
7.610157429E1,5.239268497E1,4.959850960E0,6.088468453E0,3.609999895E0,6.050000000E1,3.790092468E0,2.500000000E0
7.710259002E1,5.239269637E1,4.959902090E0,5.658460861E0,3.589999914E0,7.009999847E1,3.790092468E0,2.500000000E0
7.810312851E1,5.239270644E1,4.959953430E0,5.450192219E0,3.569999933E0,6.859999847E1,3.790092468E0,2.500000000E0
7.910319195E1,5.239271853E1,4.960002100E0,4.499188082E0,3.480000019E0,6.309999847E1,3.790092468E0,2.500000000E0
8.010387164E1,5.239273464E1,4.960050860E0,5.105135530E0,3.730000019E0,6.290000153E1,3.790092468E0,2.500000000E0
8.110641684E1,5.239274549E1,4.960099480E0,4.208023639E0,3.630000114E0,7.350000000E1,3.790092468E0,2.500000000E0
8.210284080E1,5.239275827E1,4.960147900E0,3.958619461E0,3.670000076E0,6.209999847E1,3.790092468E0,2.500000000E0
8.310180044E1,5.239277321E1,4.960195600E0,3.493580735E0,3.559999943E0,6.519999695E1,3.790092468E0,2.500000000E0
8.410873158E1,5.239278709E1,4.960243610E0,3.698828766E0,3.619999886E0,6.769999695E1,3.790092468E0,2.500000000E0
8.510853486E1,5.239280149E1,4.960290700E0,3.723412938E0,3.609999895E0,6.209999847E1,3.790092468E0,2.500000000E0
8.610302788E1,5.239282098E1,4.960330900E0,4.699721535E0,3.519999981E0,4.829999924E1,3.790092468E0,2.500000000E0
8.710392304E1,5.239283867E1,4.960374670E0,5.406498402E0,3.710000038E0,6.190000153E1,3.790092468E0,2.500000000E0
8.810176283E1,5.239285511E1,4.960421590E0,5.703668392E0,3.529999971E0,5.950000000E1,3.790092468E0,2.500000000E0
8.910241455E1,5.239286707E1,4.960470000E0,5.050332377E0,3.579999924E0,6.659999847E1,3.790092468E0,2.500000000E0
9.010474721E1,5.239287696E1,4.960520460E0,5.488913553E0,3.569999933E0,6.919999695E1,3.790092468E0,2.500000000E0
9.110487668E1,5.239289041E1,4.960566690E0,5.456672140E0,3.619999886E0,5.720000076E1,3.790092468E0,2.500000000E0
9.210326226E1,5.239290712E1,4.960609710E0,5.232905180E0,3.519999981E0,5.759999847E1,3.790092468E0,2.500000000E0
