"event","experiment time","system time","system time text"
"START",0.000000000E0,1718190426.589,"2024-06-12 13:07:06.589 UTC+02:00"
"PAUSE",3.000231732E2,1718190726.612,"2024-06-12 13:12:06.612 UTC+02:00"
