"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.581710385E0,5.563811302E0,1.300628185E-1,1.186766052E1
1.601670280E0,7.887174129E0,1.684536934E-1,1.302263260E1
1.621630176E0,6.161024570E0,5.535130501E-1,5.955508232E0
1.641590072E0,1.636607647E0,1.934751511E0,9.791936874E-1
1.661549968E0,-3.654062510E0,2.411031723E0,2.516937256E-1
1.681509864E0,-5.562864304E0,2.598044872E0,9.885854721E-1
1.701469760E0,-7.917830944E0,3.951992989E0,-7.894930840E-1
1.721429655E0,-6.549038410E0,3.522758484E0,-2.363241196E0
1.741389551E0,-3.218073368E0,2.272610664E0,-3.187301636E0
1.761349447E0,-3.798523903E0,1.824491024E0,-3.708524227E0
1.781309343E0,-6.647295952E0,1.633543491E0,-4.163321972E0
1.801269239E0,-7.978737354E0,9.224495888E-1,-4.343981743E0
1.821229135E0,-7.742055893E0,-2.361216545E-1,-3.212704659E0
1.841189030E0,-7.096268177E0,-4.343464375E-1,-1.301624775E0
1.861148926E0,-4.453149796E0,-7.069437504E-1,-6.817426682E-1
1.881108822E0,-3.137380600E0,-1.091331959E0,-1.022462368E0
1.901068718E0,-5.511798382E0,-2.129420519E0,-2.576727390E0
1.921028614E0,-6.726570129E0,-2.044341087E0,-3.271287441E0
1.940988510E0,-5.748291969E0,-3.286600113E-2,-1.959886551E0
1.960948405E0,-1.976292133E0,3.603301048E0,1.196648121E0
1.980908301E0,4.532344818E0,6.512953758E0,9.649959564E0
2.000868197E0,8.288714409E0,5.794029236E0,1.614634514E1
2.020828093E0,6.692875862E0,3.906591415E0,1.234908104E1
2.040787989E0,6.455441475E0,2.822957516E0,8.691576004E0
2.060747885E0,4.076019287E0,1.730221748E0,5.420257092E0
2.080707780E0,1.496321678E0,2.401342392E-1,2.581646919E0
2.100667676E0,1.428810596E0,-5.964860916E-1,1.438947201E0
2.120627572E0,2.121338367E0,-1.218122959E0,1.175308228E-2
2.140587416E0,2.895946503E0,-1.705482721E0,-2.447204113E0
2.160547260E0,1.255126476E0,-2.879612446E0,-3.587114811E0
2.180507103E0,-3.252707481E0,-4.563682079E0,-1.702197552E0
2.200466947E0,-5.748875618E0,-6.220482349E0,-2.598669052E0
2.220426791E0,-7.001490593E0,-6.607432842E0,-5.357014656E0
2.240386635E0,-6.258154392E0,-6.449620724E0,-8.557791710E0
2.260346478E0,-1.477679253E0,-5.180153847E0,-9.057312012E0
2.280306322E0,2.010321617E0,-3.938982010E0,-7.948558331E0
2.300266166E0,7.066497803E-1,-2.552327394E0,-8.183464050E0
2.320226010E0,-8.621907234E-1,-1.127603054E0,-6.111823082E0
2.340185853E0,-9.300765991E-1,1.985213280E0,2.853077888E0
2.360145697E0,6.727890968E0,5.798324585E0,1.323592854E1
2.380105541E0,1.333783913E1,5.572340965E0,2.149390602E1
2.400065385E0,1.052987480E1,2.518529415E0,1.862019348E1
2.420025228E0,4.990264416E0,9.437532425E-1,1.280628395E1
2.439985072E0,-5.233125687E-1,1.147016525E0,2.727255821E0
2.459944916E0,-6.044962883E0,1.699948311E0,-6.564660072E0
2.479904760E0,-7.222572803E0,1.828304768E0,-7.896146774E0
2.499864603E0,-5.412050724E0,1.282397747E0,-6.437844753E0
2.519824447E0,-4.190173149E0,7.276782990E-1,-6.465587139E0
2.539784291E0,-3.201210022E0,-1.641488075E-1,-9.376289368E0
2.559744135E0,-3.996724129E0,-6.241719723E-1,-9.746208191E0
2.579703978E0,-2.789856195E0,-9.292962551E-1,-6.626781464E0
2.599663822E0,4.922986031E-3,-7.260518074E-1,-3.197173595E0
2.619623666E0,1.371516824E0,-1.473486662E0,-3.275797367E0
2.639583510E0,-1.670098305E-1,-2.476153851E0,-5.470095634E0
2.659543353E0,-3.788151264E0,-3.002334595E0,-7.755935192E0
2.679503197E0,-1.127274704E1,-4.628906250E0,-7.571996212E0
2.699463041E0,-1.067455292E1,-3.302306652E0,-2.770469189E0
2.719422885E0,-5.200679779E0,2.218801022E0,2.841803551E0
2.739382728E0,-3.449807882E0,7.878841877E0,2.805514336E0
2.759342572E0,9.778404236E-2,8.607557297E0,8.267940521E0
2.779302416E0,2.613979101E0,1.645423412E0,1.804964828E1
2.799262260E0,-2.403362036E0,-4.034352779E0,2.489140320E1
2.819222103E0,-1.140823841E0,-1.793090343E0,1.749758530E1
2.839181947E0,-6.183183193E-1,-7.158417702E-1,4.489516258E0
2.859141791E0,4.589730263E0,-3.103089333E-1,2.177613258E0
2.879101635E0,8.511494637E0,-1.210245848E0,8.239459991E-1
2.899061478E0,3.427016735E0,-3.731630087E0,1.760225296E-1
2.919021322E0,-9.283783436E-1,-4.394209385E0,6.919250488E-1
2.938981166E0,7.484399080E-1,-5.204743862E0,-1.249561787E0
2.958941010E0,8.327069283E0,-4.531235218E0,-7.555278778E0
2.978900853E0,1.467086601E1,-1.420891047E0,-8.881481171E0
2.998860697E0,7.329261780E0,-2.643132687E0,-9.183097839E0
3.018820541E0,4.964243889E0,-4.280581474E0,-4.229754448E0
3.038780385E0,1.941185713E0,-4.611387253E0,-9.639973640E-1
3.058740228E0,1.481164694E0,-4.864878178E0,5.212249756E-1
3.078700072E0,4.146083355E0,-3.330903530E0,1.419017792E0
3.098659916E0,7.169775009E0,2.537207603E0,-6.276564598E0
3.118619760E0,-9.944820404E-1,4.489140987E0,2.949952126E0
3.138579603E0,-9.425688744E0,1.957464218E-1,1.918602562E1
3.158539447E0,-4.708046913E0,-7.340192795E-1,1.688780975E1
3.178499291E0,8.089716434E-1,1.067819595E-1,5.269279480E0
3.198459135E0,-1.813035131E0,1.915096760E0,3.622346878E0
3.218418978E0,-6.570115566E0,2.061475515E0,4.026886940E0
3.238378822E0,-6.437574387E0,9.766082764E-1,-1.107215881E-1
3.258338666E0,-4.492102623E0,1.668377161E0,-5.109848976E0
3.278298510E0,-4.188646317E0,1.383622408E0,-6.706686497E0
3.298258353E0,-3.491675377E0,-2.511181831E-1,-5.865674496E0
3.318218197E0,-5.426988602E0,-1.674580574E-1,-4.878485203E0
3.338178041E0,-5.768552303E0,4.830968380E-1,-5.490392685E0
3.358137885E0,-4.003701210E0,-1.038186550E0,-7.226530075E0
3.378097728E0,-3.839188099E0,-3.411471367E0,-6.619080067E0
3.398057572E0,-4.294796944E0,-5.329453468E0,-6.571077824E0
3.418017416E0,-7.965575218E0,-4.028422356E0,-4.859848499E0
3.437977260E0,-6.150979996E0,-3.393941402E0,-2.827839375E0
3.457937103E0,-1.979141951E0,-5.753655434E0,-3.532780170E0
3.477896947E0,-1.097436190E0,-1.553207159E0,-4.589403152E0
3.497856791E0,-5.863705635E0,1.223063469E-1,-3.473897934E0
3.517816635E0,-4.751954556E0,-4.809467793E0,3.589470863E0
3.537776478E0,-2.424910307E0,-7.559315681E0,6.605402946E0
3.557736322E0,3.882752419E0,-7.845826149E0,2.119884491E-1
3.577696166E0,1.716190457E0,-8.681684494E0,2.809731960E0
3.597656010E0,1.052721977E0,-2.911221743E0,-8.084370613E0
3.617615853E0,-2.548593283E0,-9.145572186E-1,-1.294233990E1
3.637575697E0,-1.206088066E0,-3.080890179E0,-4.754346371E0
3.657535541E0,3.884540558E0,-7.306911945E0,4.313348770E0
3.677495385E0,7.098579407E0,-8.834624290E0,7.058195591E0
3.697455228E0,7.657824039E0,-6.343219280E0,2.722605705E0
3.717415072E0,7.868824959E0,-4.185033798E0,-9.110708237E-1
3.737374916E0,9.295509338E0,-4.262128830E0,-4.306828022E0
3.757334760E0,7.084619522E0,-4.098536968E0,-3.964456558E0
3.777294603E0,5.229843140E0,-5.028718948E0,1.995344639E0
3.797254447E0,4.811686993E0,-6.766613007E0,9.217775345E0
3.817214291E0,1.255297661E0,-8.775502205E0,1.037540817E1
3.837174135E0,-5.039819717E0,-1.280587196E1,7.643917084E0
3.857133978E0,-1.575837612E1,-1.342217636E1,7.778628349E0
3.877093822E0,-2.627161980E1,-8.416118622E0,5.603579044E0
3.897053666E0,-2.832796478E1,-3.284733772E0,5.732917309E0
3.917013510E0,-2.216647339E1,-3.396039963E0,4.705497265E0
3.936973353E0,-1.849535370E1,-3.458927155E0,4.659285545E0
3.956933197E0,-1.962383652E1,-6.889309883E-1,5.778289795E0
3.976893041E0,-2.006622505E1,4.790668964E0,3.887097836E-1
3.996852885E0,-1.646419525E1,9.368349075E0,-8.394488335E0
4.016812728E0,-7.824682713E0,1.009783077E1,-1.266050529E1
4.036772572E0,8.312687874E-1,5.839970589E0,-1.681176758E1
4.056732416E0,3.889628410E0,5.605834007E0,-7.931381702E0
4.076692260E0,5.748644829E0,5.558509827E0,-2.585613489E0
4.096652103E0,9.037799835E0,3.291417837E0,-2.007890701E0
4.116611947E0,1.090316772E1,2.784781456E0,-2.413328648E0
4.136571791E0,1.075166702E1,3.055701256E0,-2.322197437E0
4.156531687E0,6.804294109E0,4.832563877E0,3.273351192E-1
4.176491583E0,-3.817663193E-1,5.649565220E0,2.469613075E0
4.196451478E0,-2.380404472E0,4.724855423E0,9.676582813E-1
4.216411374E0,-2.264865875E0,1.854856849E0,3.386922598E0
