"event","experiment time","system time","system time text"
"START",0.000000000E0,1717773894.670,"2024-06-07 17:24:54.670 UTC+02:00"
"PAUSE",3.000339228E2,1717774194.704,"2024-06-07 17:29:54.704 UTC+02:00"
